variant,case_id,span_index,query,rank,candidate,slot_id,rank_score,bm25_score,vector_score,label_score,retrieval_branch,embedding_provider,embedding_model,score_mode,gate_decision,gate_reason,gate_support_score,gate_specificity_score,linker_decision,linker_reason,linker_selected,linker_scope
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,11,피부홍조,symptom:9b18d49e37,0.0375,0.3457,0.3052,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,12,가슴 답답,chest_discomfort,0.0373,0.3029,0.3272,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,13,폐부종,symptom:2c8be00e20,0.0373,0.5247,0.2255,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,14,권태감,malaise,0.0369,0.2988,0.3201,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,15,발한,sweating,0.0364,0.3426,0.2822,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,16,천명음,wheezing,0.0362,0.4583,0.2125,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,17,체중감소,weight_loss,0.0362,0.4415,0.2188,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,18,청색증,symptom:2255dfd144,0.0356,0.3675,0.2441,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,19,빈맥,symptom:920af2278a,0.0345,0.1877,0.2844,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,20,반복되는 폐렴,symptom:ade69fdbb3,0.0338,0.4647,0.1537,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",1,사래걸림,symptom:92ca1277c1,0.0774,1.0,0.1643,0.0417,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,true,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",2,가래,sputum,0.0422,0.5632,0.218,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",3,검은색 가래,black_sputum,0.0408,0.2789,0.1874,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",4,기침,cough,0.0405,0.3232,0.1752,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",5,구토,vomiting,0.0391,0.1794,0.1746,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",6,객혈,hemoptysis,0.0372,0.1838,0.1411,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",7,운동 시 호흡곤란,symptom:a243309094,0.035,0.2225,0.1065,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",8,설사,symptom:9c88ae340b,0.0177,0.0,0.2073,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",9,천식,symptom:6a75325fe5,0.0172,0.0,0.182,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",10,사지 부종,limb_edema,0.0169,0.0,0.1778,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",11,결막염,symptom:7a281d2ec2,0.0162,0.0,0.1743,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",12,호기의 증가,symptom:0a6604a5d8,0.0159,0.0,0.1701,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",13,화농성 객담,purulent_sputum,0.0157,0.0,0.1687,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",14,저산소증,symptom:b3d40f3209,0.0156,0.2971,0.0691,0.0,rrf_bm25,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",15,무증상,symptom:e057a2105c,0.0153,0.0,0.1602,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",16,재채기,symptom:f0ff1b70a5,0.0151,0.0,0.1536,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",17,식욕부진,symptom:8678ac0397,0.0149,0.0,0.152,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",18,감기 증상,symptom:cabd50b0e8,0.0147,0.0,0.1484,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",19,사망,symptom:49570025c3,0.0145,0.0,0.1413,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",20,체중감소,weight_loss,0.0141,0.0,0.1401,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 사래걸림과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,1,기침,cough,0.1076,0.4755,0.338,1.0,rrf_preferred_alias,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,true,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,2,구토,vomiting,0.0396,0.6444,0.1559,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,3,가슴 답답,chest_discomfort,0.0392,0.5136,0.1682,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,4,말초부종,symptom:331b559ac3,0.0387,1.0,0.1103,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,5,가래,sputum,0.0383,0.3534,0.1794,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,6,빈호흡,symptom:e3fb3f1d30,0.0382,0.4029,0.1669,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,7,호흡곤란,dyspnea,0.0367,0.6828,0.1018,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,8,반복되는 폐렴,symptom:ade69fdbb3,0.0363,0.2273,0.1893,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,9,체중감소,weight_loss,0.0363,0.6034,0.1043,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,10,결막염,symptom:7a281d2ec2,0.0361,0.6086,0.1023,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,11,검은색 가래,black_sputum,0.0358,0.1762,0.234,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,12,근육통,myalgia,0.0356,0.3084,0.1172,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,13,저산소증,symptom:b3d40f3209,0.0349,0.3687,0.1046,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,14,고탄산증,symptom:2ddc315fa9,0.0344,0.2566,0.1141,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,15,삼키기 곤란,dysphagia,0.0342,0.6563,0.0744,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,16,오한,chills,0.0333,0.4702,0.0862,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,17,화농성 객담,purulent_sputum,0.0333,0.1267,0.1463,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,18,감기 증상,symptom:cabd50b0e8,0.0332,0.1673,0.1273,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,19,빈맥,symptom:920af2278a,0.0332,0.1541,0.1381,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_003,0,기침이 지속되고 있습니다 기침 지속,20,천명음,wheezing,0.0332,0.5682,0.0758,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,기침이 지속되고 있다는 내용은 일반적인 기침 증상과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,1,콧물,rhinorrhea,0.1099,1.0,0.3437,1.0,rrf_preferred_alias,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,true,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,2,코막힘,nasal_obstruction,0.0419,0.7338,0.232,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,3,재채기,symptom:f0ff1b70a5,0.0411,0.7086,0.201,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,4,결막염,symptom:7a281d2ec2,0.04,0.3005,0.2292,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,5,설사,symptom:9c88ae340b,0.0358,0.1972,0.1224,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,6,기침,cough,0.0354,0.1171,0.1441,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,7,저산소증,symptom:b3d40f3209,0.035,0.1332,0.133,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,8,호흡곤란,dyspnea,0.0344,0.3059,0.0882,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,9,탈장,symptom:d7c26014b2,0.0341,0.2326,0.0971,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,10,객혈,hemoptysis,0.0339,0.143,0.1205,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,11,서맥,symptom:8915f77f38,0.0338,0.0147,0.1371,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,12,반복되는 폐렴,symptom:ade69fdbb3,0.0325,0.2017,0.0893,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,13,호기의 증가,symptom:0a6604a5d8,0.0324,0.013,0.1231,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,14,빈호흡,symptom:e3fb3f1d30,0.0323,0.1592,0.1012,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,15,말초부종,symptom:331b559ac3,0.0317,0.0174,0.1022,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,16,천식,symptom:6a75325fe5,0.0317,0.0143,0.1168,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,17,흉통,chest_pain,0.0314,0.2053,0.078,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,18,운동 시 호흡곤란,symptom:a243309094,0.0311,0.0203,0.0975,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,19,무증상,symptom:e057a2105c,0.0309,0.2264,0.0645,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_004,1,콧물이 계속 나오고 있습니다 콧물,20,수유 곤란,symptom:50b724dad2,0.0309,0.0166,0.0982,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,콧물이 계속 나오고 있다는 것은 콧물(rhinorrhea)과 직접 대응합니다.,false,top_k
G,eval_005,0,어지러움이 더 심해졌습니다 어지러움 악화,1,어지러움,symptom:9e9c6673c9,0.1099,1.0,0.4368,1.0,rrf_preferred_alias,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,어지러움이 더 심해졌다는 내용은 현재 증상으로 직접 대응됩니다.,true,top_k
G,eval_005,0,어지러움이 더 심해졌습니다 어지러움 악화,2,가래,sputum,0.0399,0.057,0.1649,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,어지러움이 더 심해졌다는 내용은 현재 증상으로 직접 대응됩니다.,false,top_k
G,eval_005,0,어지러움이 더 심해졌습니다 어지러움 악화,3,기침,cough,0.0376,0.0551,0.135,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,어지러움이 더 심해졌다는 내용은 현재 증상으로 직접 대응됩니다.,false,top_k
G,eval_005,0,어지러움이 더 심해졌습니다 어지러움 악화,4,감기 증상,symptom:cabd50b0e8,0.0372,0.0559,0.1242,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,어지러움이 더 심해졌다는 내용은 현재 증상으로 직접 대응됩니다.,false,top_k
G,eval_005,0,어지러움이 더 심해졌습니다 어지러움 악화,5,사망,symptom:49570025c3,0.0358,0.1212,0.0931,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,어지러움이 더 심해졌다는 내용은 현재 증상으로 직접 대응됩니다.,false,top_k
