variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
C,syn_0030,partial_miss|extraction_gold_mismatch,권태감,,권태감; 눈꼽; 호흡곤란,20,호흡곤란; 눈이 무거운 느낌; 복벽이 움푹 들어감; 눈꼽; 온몸이 떨림; 가슴 답답; 체중감소; 천명음; 기침; 식욕부진; 가래; 열; 콧물; 흉통; 빈호흡; 반복되는 폐렴; 근력 약화; 피로감; 코막힘; 폐부종,약 먹는 중에 아침마다 눈꼽이 많이 껴 그리고 전반적으로 몸이 무거워 그리고 숨이 차서 힘들어.,,있음,symptom,1,0
C,syn_0032,miss_all_gold|extraction_gold_mismatch,피로감,,피로감,20,기침; 호흡곤란; 권태감; 감기 증상; 운동 시 호흡곤란; 근육통; 불안; 가래; 코막힘; 반복되는 폐렴; 피부홍조; 발한; 오한; 창백; 콧물; 온몸이 떨림; 화농성 객담; 재채기; 박동성 통증; 방사통,지난 진료 이후 쉬어도 피곤해.,,있음,symptom,1,0
C,syn_0033,negative_hit|extraction_gold_mismatch,,창백,검은색 가래,20,가래; 검은색 가래; 창백; 거품이 섞인 가래; 기침; 화농성 객담; 체중감소; 구토; 운동 시 호흡곤란; 폐부종; 천명음; 감기 증상; 객혈; 두통; 발한; 오한; 불안; 근육통; 결막염; 질식,창백은 이제 거의 없어 근데 지난번보다 거무스름한 가래가 나와.,,있음,symptom,1,0
C,syn_0037,negative_hit|extraction_gold_mismatch,,근력 약화,코막힘; 화농성 객담,20,가래; 근력 약화; 검은색 가래; 거품이 섞인 가래; 코막힘; 기침; 화농성 객담; 구토; 가슴 답답; 흉부압박감; 피부홍조; 운동 시 호흡곤란; 근긴장의 이상; 질식; 결막염; 흉수; 마찰음; 객혈; 눈꼽; 기운없음,근력 약화는 좀 나아졌어 근데 아직 가래가 노랗고 진해 그리고 코가 꽉 막혀.,,있음,symptom,1,0
C,syn_0041,negative_hit|extraction_gold_mismatch,,발한,부정맥,20,발한; 부정맥; 서맥; 불안; 근력 약화; 피부홍조; 경정맥 확장; 빈맥; 흉수; 천식; 흉곽 팽윤; 근긴장의 이상; 창백; 복벽이 움푹 들어감; 압통; 저산소증; 피로감; 기침; 호기의 증가; 빈호흡,발한은 지금은 괜찮아 근데 아직 맥이 들쑥날쑥해.,,있음,symptom,1,0
C,syn_0043,miss_all_gold|extraction_gold_mismatch,권태감,,권태감,20,온몸이 떨림; 기운없음; 구토; 가래; 무증상; 서맥; 감기 증상; 검은색 가래; 코막힘; 빈맥; 콧물; 흉수; 말초부종; 호흡곤란; 천식; 하지부종; 어지러움; 사래걸림; 기침; 질식,몸이 처지고 의욕이 없어 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0045,negative_hit|extraction_gold_mismatch,,운동 시 호흡곤란,삼키기 곤란,20,호흡곤란; 운동 시 호흡곤란; 빈호흡; 삼키기 곤란; 호흡기감염; 수유 곤란; 가래; 기침; 불안; 기운없음; 권태감; 발한; 피부홍조; 감기 증상; 질식; 함몰가슴; 식욕부진; 마찰음; 천식; 청색증,운동 시 호흡곤란은 지금 없어 근데 음식이 잘 넘어가지 않아 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0049,partial_miss|negative_hit|extraction_gold_mismatch,사지 부종,호흡곤란,사지 부종; 오한,20,호흡곤란; 운동 시 호흡곤란; 오한; 호흡기감염; 빈호흡; 삼키기 곤란; 눈이 무거운 느낌; 수유 곤란; 불안; 발한; 권태감; 피부홍조; 두통; 가래; 기침; 열; 근육통; 객혈; 폐부종; 호기의 증가,호흡곤란은 지금은 괜찮아 근데 어제부터 오한이 있어 그리고 팔다리가 붓는 느낌이야.,,있음,symptom,1,0
C,syn_0053,negative_hit|extraction_gold_mismatch,,화농성 객담,눈의 충혈,20,화농성 객담; 눈이 무거운 느낌; 체중감소; 눈의 충혈; 검은색 가래; 구토; 오한; 기침; 근육통; 가래; 천명음; 코막힘; 눈꼽; 천식; 창백; 질식; 지남력 장애; 감기 증상; 식욕부진; 콧물,화농성 객담은 지금은 괜찮아 근데 눈이 붉어졌어 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0057,partial_miss|negative_hit|extraction_gold_mismatch,어지러움,하지부종,방사통; 어지러움,20,하지부종; 사지 부종; 폐부종; 말초부종; 검은색 가래; 사망; 무증상; 감기 증상; 청색증; 가슴 답답; 방사통; 열; 피부홍조; 기침; 구토; 재채기; 가래; 마찰음; 객혈; 폐기능저하,하지부종은 지금은 괜찮아 근데 치료하고 나서도 머리깽이가 핑 돌아 그리고 아픈 게 어깨로 뻗어.,,있음,symptom,1,0
C,syn_0058,partial_miss|extraction_gold_mismatch,흉부압박감,,기침; 흉부압박감,20,기침; 가슴 답답; 반복되는 폐렴; 가슴 두근거림; 함몰가슴; 눈이 무거운 느낌; 감기 증상; 근육통; 삼키기 곤란; 오한; 천명음; 사망; 결막염; 불안; 운동 시 호흡곤란; 가래; 검은색 가래; 구토; 콧물; 빈호흡,치료 후에도 가슴을 꽉 누르는 느낌이야 그리고 마른기침이 반복돼.,,있음,symptom,1,0
C,syn_0060,partial_miss|extraction_gold_mismatch,설사,,가슴 답답; 설사; 천명음,20,호흡곤란; 가슴 답답; 함몰가슴; 가슴 두근거림; 천명음; 가래; 화농성 객담; 기침; 청색증; 삼키기 곤란; 흉통; 검은색 가래; 열; 운동 시 호흡곤란; 저산소증; 객혈; 목소리 변화; 호기의 증가; 천식; 감기 증상,어제부터 묽은 변을 몇 번씩 봐 그리고 숨 쉴 때 쌕쌕거려 그리고 가슴이 답답해.,,있음,symptom,1,0
C,syn_0061,negative_hit|extraction_gold_mismatch,,재채기,복부팽만감,20,복부팽만감; 재채기; 열; 빈호흡; 결막염; 구토; 오한; 폐부종; 근육통; 복벽이 움푹 들어감; 두통; 복부 통증; 질식; 기침; 탈장; 반복되는 폐렴; 검은색 가래; 설사; 사지 부종; 객혈,재채기는 지금은 괜찮아 근데 약 먹는 중에 배가 더부룩하고 부풀어 있어.,,있음,symptom,1,0
C,syn_0065,negative_hit|extraction_gold_mismatch,,목소리 변화,하지부종,20,목소리 변화; 목의 통증; 의식 변화; 사지 부종; 하지부종; 콧물; 결막염; 가래; 근력 약화; 탈장; 복부팽만감; 열; 발한; 마찰음; 지남력 장애; 말초부종; 기침; 감기 증상; 천식; 체중감소,목소리 변화는 지금은 괜찮아 근데 다리가 부어 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0069,partial_miss|negative_hit|extraction_gold_mismatch,근육통,목의 통증,거품이 섞인 가래; 근육통,20,목의 통증; 가래; 거품이 섞인 가래; 검은색 가래; 박동성 통증; 복부 통증; 기침; 운동 시 호흡곤란; 화농성 객담; 체중감소; 가슴 답답; 구토; 감기 증상; 객혈; 발한; 불안; 피부홍조; 흉통; 삼키기 곤란; 두통,목의 통증은 좀 나아졌어 근데 거품 낀 가래가 나와 그리고 몸땡이가 여기저기 쑤셔 그래서 좀 불편해.,,있음,symptom,1,0
C,syn_0070,partial_miss|extraction_gold_mismatch,사래걸림; 오한,,방사통; 사래걸림; 오한,20,복벽이 움푹 들어감; 재채기; 가래; 객혈; 가슴 답답; 방사통; 기운없음; 흉통; 결막염; 콧물; 감기 증상; 운동 시 호흡곤란; 기침; 근력 약화; 체중감소; 호기의 증가; 사망; 폐기능저하; 경정맥 확장; 반복되는 폐렴,어제부터 아픈 게 어깨로 뻗어 그리고 물 마시면 사레가 잘 들어 그리고 추워가 몸땡이가 떨려.,,있음,symptom,1,0
C,syn_0073,negative_hit|extraction_gold_mismatch,,사래걸림,천명음,20,천명음; 가슴 답답; 사래걸림; 목소리 변화; 함몰가슴; 가슴 두근거림; 결막염; 가래; 콧물; 검은색 가래; 삼키기 곤란; 발한; 흉통; 탈장; 하지부종; 불안; 저산소증; 구토; 방사통; 피부홍조,사래걸림은 좀 나아졌어 근데 집에 있던 약 조금 먹었는데도 가슴에서 쌕쌕 소리가 나.,,있음,symptom,1,0
C,syn_0075,miss_all_gold|extraction_gold_mismatch,운동 시 호흡곤란,,운동 시 호흡곤란,20,호흡곤란; 감기 증상; 검은색 가래; 가슴 답답; 탈장; 열; 흉수; 기침; 복벽이 움푹 들어감; 기운없음; 사래걸림; 화농성 객담; 사망; 어지러움; 지남력 장애; 가래; 눈의 충혈; 구토; 흉부압박감; 창백,치료하고 나서도 조금만 걸어도 숨이 차.,,있음,symptom,1,0
C,syn_0077,partial_miss|negative_hit|extraction_gold_mismatch,권태감,체중감소,권태감; 눈꼽,20,눈꼽; 체중감소; 가슴 답답; 식욕부진; 마찰음; 구토; 빈혈; 열; 천식; 가래; 기침; 눈이 무거운 느낌; 운동 시 호흡곤란; 감기 증상; 화농성 객담; 호기의 증가; 흉통; 의식 저하; 거품이 섞인 가래; 온몸이 떨림,체중감소는 지금은 괜찮아 근데 눈꼽이 자꾸 껴 그리고 괜히 몸땡이가 무겁고 처져 그래서 좀 불편해.,,있음,symptom,1,0
C,syn_0079,partial_miss|extraction_gold_mismatch,피로감,,삼키기 곤란; 피로감,20,목의 통증; 질식; 감기 증상; 검은색 가래; 사망; 가슴 답답; 근력 약화; 객혈; 열; 삼키기 곤란; 탈장; 기침; 코막힘; 콧물; 운동 시 호흡곤란; 천식; 가래; 기운없음; 권태감; 온몸이 떨림,치료하고 나서도 쉬어도 몸땡이가 피곤해 그리고 음식이 목에 걸려 잘 안 넘어가.,,있음,symptom,1,0
C,syn_0081,negative_hit|extraction_gold_mismatch,,삼키기 곤란,피부홍조,20,삼키기 곤란; 호흡곤란; 운동 시 호흡곤란; 수유 곤란; 구토; 식욕부진; 체중감소; 불안; 피부홍조; 기침; 사망; 청색증; 감기 증상; 발한; 열; 폐부종; 가래; 빈호흡; 오한; 객혈,삼키기 곤란은 지금은 괜찮아 근데 지금 먹는 약은 없고 얼굴이 붉어져.,,있음,symptom,1,0
C,syn_0085,negative_hit|extraction_gold_mismatch,,천명음,창백,20,창백; 천명음; 가래; 기침; 구토; 오한; 두통; 피부홍조; 저산소증; 목소리 변화; 호기의 증가; 눈이 무거운 느낌; 기운없음; 호흡기감염; 천식; 눈의 충혈; 거품이 섞인 가래; 어지러움; 발한; 지남력 장애,천명음은 이제 거의 없어 근데 지난번보다 얼굴빛이 창백해 보여.,,있음,symptom,1,0
C,syn_0089,partial_miss|negative_hit|extraction_gold_mismatch,빈맥,복부 통증,목의 통증; 빈맥,20,목의 통증; 복부 통증; 복부팽만감; 눈이 무거운 느낌; 박동성 통증; 탈장; 가슴 답답; 콧물; 코막힘; 부정맥; 삼키기 곤란; 흉통; 열; 발한; 피부홍조; 청색증; 불안; 체중감소; 사망; 피로감,복부 통증은 이제 거의 없어 근데 심장이 빠르게 뛰는 느낌이야 그리고 목이 따가워.,,있음,symptom,1,0
C,syn_0090,partial_miss|extraction_gold_mismatch,권태감; 호흡곤란,,거품이 섞인 가래; 권태감; 호흡곤란,20,가래; 거품이 섞인 가래; 눈이 무거운 느낌; 검은색 가래; 온몸이 떨림; 기침; 체중감소; 감기 증상; 객혈; 가슴 답답; 식욕부진; 오한; 콧물; 빈호흡; 화농성 객담; 삼키기 곤란; 구토; 반복되는 폐렴; 근육통; 코막힘,지난 진료 이후 전반적으로 몸이 무거워 그리고 숨이 부족한 느낌이야 그리고 가래에 거품이 보여.,,있음,symptom,1,0
C,syn_0093,negative_hit|extraction_gold_mismatch,,근육통,재채기,20,근육통; 재채기; 권태감; 두통; 흉통; 피부홍조; 발한; 가래; 불안; 오한; 저산소증; 객혈; 기침; 무증상; 콧물; 구토; 운동 시 호흡곤란; 결막염; 검은색 가래; 호기의 증가,근육통은 이제 거의 없어 근데 며칠 전부터 재채기가 자꾸 나와.,,있음,symptom,1,0
C,syn_0096,miss_all_gold|extraction_gold_mismatch,오한,,오한,20,가래; 기침; 온몸이 떨림; 운동 시 호흡곤란; 천식; 검은색 가래; 체중감소; 목소리 변화; 객혈; 폐기능저하; 호기의 증가; 재채기; 코막힘; 어지러움; 사래걸림; 의식 저하; 감기 증상; 거품이 섞인 가래; 천명음; 질식,어제부터 추워가 몸땡이가 떨려.,,있음,symptom,1,0
C,syn_0097,negative_hit|extraction_gold_mismatch,,체중감소,구토; 코막힘,20,코막힘; 체중감소; 가슴 답답; 마찰음; 식욕부진; 빈혈; 열; 구토; 결막염; 천식; 흉곽 팽윤; 폐부종; 사지 부종; 폐기능저하; 말초부종; 감기 증상; 호흡곤란; 하지부종; 피부홍조; 탈장,체중감소는 지금은 괜찮아 근데 코가 막혀 답답해 그리고 토할 것 같아 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0101,negative_hit|extraction_gold_mismatch,,눈이 무거운 느낌,복부 통증,20,눈이 무거운 느낌; 눈의 충혈; 가슴 답답; 구토; 삼키기 곤란; 불안; 발한; 피부홍조; 탈장; 감기 증상; 빈맥; 빈호흡; 마찰음; 서맥; 질식; 복부 통증; 경정맥 확장; 복부팽만감; 콧물; 폐기능저하,눈이 무거운 느낌은 나아졌어 근데 배가 아파 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0105,negative_hit|extraction_gold_mismatch,,객혈,흉부압박감,20,객혈; 가슴 답답; 가슴 두근거림; 눈이 무거운 느낌; 함몰가슴; 가래; 불안; 발한; 피부홍조; 흉통; 감기 증상; 빈혈; 사망; 기운없음; 흉부압박감; 사지 부종; 결막염; 마찰음; 삼키기 곤란; 빈맥,객혈은 지금 없어 근데 가슴을 꽉 누르는 느낌이야 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0107,partial_miss|extraction_gold_mismatch,설사,,설사; 천명음,20,천명음; 가슴 답답; 목소리 변화; 함몰가슴; 가슴 두근거림; 가래; 결막염; 콧물; 검은색 가래; 삼키기 곤란; 발한; 하지부종; 불안; 흉통; 청색증; 피부홍조; 호기의 증가; 의식 변화; 천식; 화농성 객담,며칠 전부터 묽은 변을 몇 번씩 봐 그리고 가슴에서 쌕쌕 소리가 나.,,있음,symptom,1,0
C,syn_0109,partial_miss|negative_hit|extraction_gold_mismatch,사지 부종,눈의 충혈,사지 부종; 운동 시 호흡곤란,20,눈의 충혈; 눈이 무거운 느낌; 호흡곤란; 기침; 가래; 가슴 답답; 운동 시 호흡곤란; 구토; 객혈; 피부홍조; 사망; 발한; 불안; 콧물; 결막염; 두통; 화농성 객담; 삼키기 곤란; 검은색 가래; 천명음,눈의 충혈은 지금은 괜찮아 근데 최근에 팔다리가 붓는 느낌이야 그리고 걸을 때 숨이 더 차.,,있음,symptom,1,0
C,syn_0110,partial_miss|extraction_gold_mismatch,빈맥,,구토; 빈맥; 흉통,20,흉통; 가슴 답답; 함몰가슴; 가슴 두근거림; 감기 증상; 서맥; 가래; 부정맥; 사망; 청색증; 빈호흡; 삼키기 곤란; 저산소증; 방사통; 기침; 구토; 경정맥 확장; 창백; 심부전; 하지부종,치료 후에도 토할 것 같아 그리고 가슴이 찌르듯 아파 그리고 맥이 빠르게 뛰어.,,있음,symptom,1,0
C,syn_0113,negative_hit|extraction_gold_mismatch,,피부홍조,근력 약화,20,피부홍조; 근력 약화; 눈이 무거운 느낌; 감기 증상; 발한; 불안; 삼키기 곤란; 청색증; 사망; 빈호흡; 탈장; 근긴장의 이상; 피로감; 기침; 코막힘; 지남력 장애; 콧물; 천식; 목소리 변화; 권태감,피부홍조는 지금은 괜찮아 근데 치료 후에도 근력이 약해진 느낌이야.,,있음,symptom,1,0
C,syn_0117,negative_hit|extraction_gold_mismatch,,사지 부종,방사통; 사래걸림,20,사지 부종; 하지부종; 폐부종; 말초부종; 목의 통증; 사래걸림; 박동성 통증; 복부 통증; 가래; 기침; 검은색 가래; 방사통; 객혈; 화농성 객담; 구토; 운동 시 호흡곤란; 콧물; 청색증; 가슴 답답; 마찰음,사지 부종은 지금은 괜찮아 근데 약 먹는 중에 통증이 어깨 쪽으로 뻗쳐 그리고 먹을 때 사래가 자주 걸려.,,있음,symptom,1,0
C,syn_0119,partial_miss|extraction_gold_mismatch,객혈,,객혈; 창백,20,기침; 창백; 가래; 검은색 가래; 천명음; 화농성 객담; 구토; 결막염; 운동 시 호흡곤란; 빈맥; 가슴 답답; 빈호흡; 식욕부진; 두통; 콧물; 흉통; 체중감소; 열; 불안; 권태감,오늘 아침부터 기침할 때 피가 보여 그리고 안색이 창백해.,,있음,symptom,1,0
C,syn_0121,negative_hit|extraction_gold_mismatch,,권태감,목소리 변화,20,목소리 변화; 권태감; 목의 통증; 결막염; 콧물; 가래; 피부홍조; 두통; 오한; 발한; 불안; 하지부종; 기운없음; 천명음; 체중감소; 호기의 증가; 기침; 식욕부진; 열; 코막힘,권태감은 이제 거의 없어 근데 새로 목소리가 쉬어 버렸어.,,있음,symptom,1,0
C,syn_0125,negative_hit|extraction_gold_mismatch,,기침,두통,20,기침; 구토; 결막염; 검은색 가래; 콧물; 가래; 체중감소; 천명음; 화농성 객담; 두통; 가슴 답답; 근력 약화; 감기 증상; 폐부종; 삼키기 곤란; 객혈; 오한; 빈맥; 식욕부진; 운동 시 호흡곤란,기침은 이제 거의 없어 근데 머리깽이가 지끈지끈해.,,있음,symptom,1,0
C,syn_0129,negative_hit|extraction_gold_mismatch,,가슴 두근거림,감기 증상; 근육통,20,가슴 두근거림; 가슴 답답; 감기 증상; 근육통; 온몸이 떨림; 함몰가슴; 기운없음; 말초부종; 삼키기 곤란; 두통; 오한; 발한; 폐부종; 반복되는 폐렴; 불안; 피부홍조; 권태감; 천명음; 기침; 가래,가슴 두근거림은 지금은 괜찮아 근데 온몸 근육이 쑤셔 그리고 감기 기운이 있어 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0130,partial_miss|extraction_gold_mismatch,사래걸림; 오한,,사래걸림; 사지 부종; 오한,20,복벽이 움푹 들어감; 가슴 답답; 가래; 반복되는 폐렴; 기침; 재채기; 사지 부종; 폐부종; 천명음; 근육통; 서맥; 저산소증; 결막염; 운동 시 호흡곤란; 콧물; 코막힘; 근력 약화; 목소리 변화; 하지부종; 곤봉지,지난번보다 물 마시면 사레가 잘 들어 그리고 몸땡이가 으슬으슬해 그리고 손발이 자꾸 부어.,,있음,symptom,1,0
C,syn_0133,negative_hit|extraction_gold_mismatch,,검은색 가래,가슴 답답,20,검은색 가래; 가슴 답답; 가래; 함몰가슴; 거품이 섞인 가래; 가슴 두근거림; 화농성 객담; 기침; 감기 증상; 운동 시 호흡곤란; 체중감소; 오한; 청색증; 구토; 객혈; 호흡곤란; 삼키기 곤란; 말초부종; 불안; 사지 부종,검은색 가래는 지금은 괜찮아 근데 아직 가슴이 답답해.,,있음,symptom,1,0
C,syn_0136,miss_all_gold|extraction_gold_mismatch,빈맥,,빈맥,20,눈이 무거운 느낌; 불안; 가슴 답답; 부정맥; 삼키기 곤란; 발한; 피부홍조; 청색증; 탈장; 사망; 체중감소; 호흡곤란; 운동 시 호흡곤란; 두통; 권태감; 호기의 증가; 함몰가슴; 오한; 심부전; 근육통,심장이 빠르게 뛰는 느낌이야 그래서 좀 불편해.,,있음,symptom,1,0
C,syn_0137,partial_miss|negative_hit|extraction_gold_mismatch,권태감,복부팽만감,권태감; 호흡곤란,20,복부팽만감; 호흡곤란; 눈이 무거운 느낌; 온몸이 떨림; 복부 통증; 체중감소; 가슴 답답; 식욕부진; 삼키기 곤란; 폐부종; 빈호흡; 피로감; 사지 부종; 콧물; 코막힘; 무증상; 피부홍조; 탈장; 근육통; 재채기,복부팽만감은 나아졌어 근데 전반적으로 몸이 무거워 그리고 숨이 부족한 느낌이야 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0138,partial_miss|extraction_gold_mismatch,어지러움,,눈이 무거운 느낌; 어지러움,20,권태감; 눈이 무거운 느낌; 가슴 답답; 삼키기 곤란; 불안; 피부홍조; 발한; 두통; 사망; 청색증; 가래; 눈꼽; 천식; 질식; 운동 시 호흡곤란; 빈호흡; 천명음; 재채기; 무증상; 피로감,눈꺼풀이 축 처지는 느낌이야 그리고 머리깽이가 핑 돌아 그래서 좀 불편해.,,있음,symptom,1,0
C,syn_0141,negative_hit|extraction_gold_mismatch,,빈맥,발한,20,발한; 빈맥; 빈호흡; 열; 경정맥 확장; 복벽이 움푹 들어감; 결막염; 흉수; 질식; 부정맥; 객혈; 압통; 빈혈; 가래; 거품이 섞인 가래; 콧물; 눈의 충혈; 코막힘; 지남력 장애; 천식,빈맥은 좀 나아졌어 근데 아직 식은땀이 흘러.,,있음,symptom,1,0
C,syn_0145,negative_hit|extraction_gold_mismatch,,방사통,가래,20,가래; 방사통; 검은색 가래; 거품이 섞인 가래; 기침; 객혈; 구토; 화농성 객담; 감기 증상; 불안; 피부홍조; 체중감소; 발한; 흉통; 오한; 저산소증; 결막염; 반복되는 폐렴; 복벽이 움푹 들어감; 운동 시 호흡곤란,방사통은 이제 거의 없어 근데 가래가 자꾸 나와.,,있음,symptom,1,0
C,syn_0149,negative_hit|extraction_gold_mismatch,,가래,목의 통증; 온몸이 떨림,20,목의 통증; 검은색 가래; 가래; 거품이 섞인 가래; 코막힘; 기침; 화농성 객담; 체중감소; 구토; 운동 시 호흡곤란; 재채기; 가슴 답답; 오한; 콧물; 감기 증상; 목소리 변화; 열; 결막염; 온몸이 떨림; 질식,가래는 좀 나아졌어 근데 이번에 새로 목이 따가워 그리고 몸땡이가 막 떨려.,,있음,symptom,1,0
C,syn_0150,partial_miss|extraction_gold_mismatch,호흡곤란,,거품이 섞인 가래; 근육통; 호흡곤란,20,가래; 거품이 섞인 가래; 검은색 가래; 온몸이 떨림; 근육통; 권태감; 기침; 가슴 답답; 감기 증상; 피부홍조; 두통; 발한; 객혈; 호흡기감염; 화농성 객담; 불안; 운동 시 호흡곤란; 구토; 코막힘; 피로감,며칠 전부터 가만히 있어도 숨쉬기가 불편해 그리고 가래에 거품이 보여 그리고 온몸 근육이 쑤셔.,,있음,symptom,1,0
C,syn_0153,negative_hit|extraction_gold_mismatch,,피로감,기운없음,20,피로감; 코막힘; 근력 약화; 기운없음; 콧물; 체중감소; 가래; 피부홍조; 근육통; 불안; 발한; 운동 시 호흡곤란; 권태감; 무증상; 거품이 섞인 가래; 두통; 눈이 무거운 느낌; 폐기능저하; 검은색 가래; 온몸이 떨림,피로감은 이제 거의 없어 근데 며칠 전부터 몸땡이에 힘이 쭉 빠져.,,있음,symptom,1,0
C,syn_0157,negative_hit|extraction_gold_mismatch,,설사,구토; 흉통,20,흉통; 구토; 설사; 가슴 답답; 가슴 두근거림; 함몰가슴; 기침; 가래; 오한; 방사통; 청색증; 삼키기 곤란; 사망; 감기 증상; 사지 부종; 빈호흡; 기운없음; 하지부종; 호기의 증가; 두통,설사는 지금 없어 근데 지난 진료 이후 구토가 있었어 그리고 가슴이 찌르듯 아파.,,있음,symptom,1,0
